"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Spata17",0.0135024701632922,0.0103922674058433,0.520783348252311,0.609589060757453,0.958224939143108,-5.96078619119021
"Arhgef26",-0.0140046005627289,0.00882697580096417,-0.520650455045144,0.609679574110648,0.958224939143108,-5.96085481837445
"Cbx4",-0.0177928415417741,0.021051016915657,-0.520477648548514,0.60979728212497,0.958224939143108,-5.96094403183534
"Pfkl",-0.0175797441429346,0.0203750877174068,-0.52044096309988,0.609822272025818,0.958224939143108,-5.96096296746678
"Pabpc4l",-0.0234511398052349,0.0143825655203518,-0.520357496559479,0.609879130773866,0.958224939143108,-5.96100604491564
"Ptf1a",-0.0158331334697731,0.0173302071895271,-0.520280106066609,0.609931852725242,0.958224939143108,-5.96104598053056
"Tasl",0.0164383253104801,0.0128242788158913,0.520256399724037,0.609948003016143,0.958224939143108,-5.96105821250566
"Frg2f1",-0.0156074140200677,0.0109773792322767,-0.52023100088581,0.609965306575192,0.958224939143108,-5.96107131717596
"Col23a1",0.0151870373936606,0.0140126818621537,0.520016497110344,0.61011145186757,0.958224939143108,-5.96118196694475
"Mns1",-0.0277585388307246,0.0258307679499613,-0.519951306834503,0.610155870552712,0.958224939143108,-5.96121558601102
"Apol7e",-0.0187027453075834,0.0118047544996972,-0.519932568181949,0.610168638795624,0.958224939143108,-5.96122524890801
"Med4",-0.0246828847188323,0.0532449482300116,-0.519869920069438,0.610211327243619,0.958224939143108,-5.96125755200543
"Tex33",-0.0140953726859075,0.0113991737501399,-0.519842819024455,0.610229794356089,0.958224939143108,-5.96127152488845
"Bysl",0.0211457783191604,0.0194440863120202,0.519455227771541,0.610493935349979,0.958459600089783,-5.9614712840427
"Olfr648",-0.0160001676395357,0.0110439996547994,-0.519381833748936,0.610543959170037,0.958459600089783,-5.96150909410542
"Olfr1175",0.0124367159396628,0.0127996843928142,0.519311990422999,0.610591564759604,0.958459600089783,-5.96154507018219
"Stambpl1",-0.0202936521691455,0.0230789976755585,-0.519099327152518,0.610736528303239,0.958576039207517,-5.96165458359649
"Atp2c2",0.0184046564690861,0.0129085546126326,0.518523559061339,0.611129088905365,0.958716385238275,-5.96195086468223
"Fam124a",0.0202567160267568,0.0183467956599322,0.518463582080059,0.611169988454062,0.958716385238275,-5.96198170962271
"Fzd1",-0.016548538905811,0.0153191716645372,-0.518462351895713,0.611170827356211,0.958716385238275,-5.96198234224542
"Pou3f2",0.0156299541931907,0.0138440746349209,0.518352180295869,0.61124595916883,0.958716385238275,-5.9620389921499
"1110065P20Rik",-0.0180336226960275,0.0140734335908037,-0.518297761117002,0.611283072124899,0.958716385238275,-5.96206697003834
"Kbtbd12",-0.0138998889891045,0.00927564574539019,-0.51813533595928,0.611393849826868,0.958716385238275,-5.96215045889567
"Lrrc20",0.0215173248703835,0.0264152441762419,0.517965797493003,0.61150948935726,0.958716385238275,-5.96223757714265
"Defb9",0.0154888165320532,0.0126113307585797,0.517665677119912,0.611714222768844,0.958716385238275,-5.96239172809441
